tanggal,sentimen
2022-07-06,Promo Idul Adha - Paket Masak: Sambal &amp; Kecap Indofood + Palmia Rp15.000. https://t.co/7bN5zUimuL https://t.co/ijx6F3NTW4
2022-07-06, Promo Idul Adha - Paket Masak: Sambal &amp; Kecap Indofood + Palmia ️ DISKON 49% https://t.co/A5iIT6KVOM https://t.co/GBWzCC5dpP
2022-07-06,@aozora_ands_48 Di kantor gw ada 2 bagian lift 7-19 dan 19-27 Yg 7-19 ini banyak tenant2 lain Yg 19-27 indofood semua 27-38 bahkan apartemen
2022-07-06,Promo idul adha - paket masak : saus 2 indofood kecap indofood margarin palmia https://t.co/pFQ5FgmmXg https://t.co/CLNir9cxRB
2022-07-06,Misi indofood kali
2022-07-06,Promo Idul Adha - Paket Masak: Sambal &amp; Kecap Indofood + Palmia Hanya Rp15.000 https://t.co/CJd7dbYyfT https://t.co/fbUaEMlXQv
2022-07-06,Lowongan kerja Distributor Indofood CBP Sukses Makmur Indramayu Halo sobat jobseekers #lokercirebon Untuk info lebih jelasnya bisa cek di website official kami https://t.co/RivMUTeHLq
2022-07-06,Kurang Indofood nih.
2022-07-06,IHSG Menguat Terbatas Cermati ITMG ANTM INDF dan ENRG https://t.co/cwl5oinIen
2022-07-06,@ClintCG @indofood Buktinya tak cuqup wkwk udah keburu dimakan dan struknya ga diambil wkwk Maybe next time
2022-07-06,Indomlik - pop mie - indofood
2022-07-06,BNI Sekuritas: IHSG Menguat Terbatas Cermati ITMG ANTM INDF dan ENRG https://t.co/BGZNYnRuzt
2022-07-06,IHSG gagal menembus ke atas garis SMA-5 yang berada di kisaran level 6.800 sebagai resisten terdekat. https://t.co/OK5eaphsY5
2022-07-08,Masak kare pake bumbu kare instant Indofood. Not bad approved enak dan anti capek2 bund.. https://t.co/KKv3jf4a46
2022-07-08,Kenapa @indofood ngilangin chiki stick yang stroberi dan coklat? Aku kangen. Pengen makan ituuu 
